TBEG "ZUORDNUNG_CAN_ID_SG"
HEAD "INDEX", "CAN_ID_DEZ", "CAN_ID_HEX", "CAN_ID_NAME", "DIAG_ID_DEZ", "DIAG_ID_HEX", "SG_NAME"
LINE "077", "419", "0x1A3", "Raw data longitudinal acceleration [6]", "41", "0x29", "DSC_CT"
LINE "078", "419", "0x1A3", "Raw data longitudinal acceleration [6]", "18", "0x12", "DME1"
LINE "079", "422", "0x1A6", "Route [6]", "41", "0x29", "EHB3"
LINE "080", "423", "0x1A7", "actuation request EMF [4]", "41", "0x29", "EHB3"
LINE "081", "426", "0x1AA", "Effect ErgoCommander [10]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "082", "428", "0x1AC", "Status ARS module [13]", "35", "0x23", "ARS_Modul"
LINE "083", "436", "0x1B4", "Status Kombi (15)", "96", "0x60", "Kombi"
LINE "084", "437", "0x1B5", "Heat flow / load torque air conditioning [14]", "120", "0x78", "IHKA"
LINE "085", "438", "0x1B6", "Heat flow motor [11]", "18", "0x12", "DME1 / DDE1"
LINE "086", "440", "0x1B8", "Operation ErgoCommander [6]", "103", "0x67", "ZBE"
LINE "087", "450", "0x1C2", "Distance message PDC [5]", "100", "0x64", "PDC"
LINE "088", "451", "0x1C3", "Distance message 2 PDC [3]", "100", "0x64", "PDC"
LINE "089", "454", "0x1C6", "Acoustic message PDC [5]", "100", "0x64", "PDC"
LINE "090", "464", "0x1D0", "Motor data [13]", "18", "0x12", "DME1 / DDE1"
LINE "091", "466", "0x1D2", "Display gear data [22]", "24", "0x18", "EGS_EL"
LINE "092", "470", "0x1D6", "Operation pushbutton audio / telephone [12]", "2", "0x2", "SZL_LWS / SZL_LWS"
LINE "093", "472", "0x1D8", "Operation air conditioning air distribution FA [13]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "094", "473", "0x1D9", "Operation pushbutton M-Drive [2]", "2", "0x2", "SZL_LWS / SZL_LWS"
LINE "095", "474", "0x1DA", "Climate control remote control [5]", "64", "0x40", "CAS"
LINE "096", "476", "0x1DC", "Operation stratification seat heating [1]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "097", "478", "0x1DE", "Air conditioning controls rear [8]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "098", "480", "0x1E0", "Operation air conditioning air distribution BF [7]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "099", "482", "0x1E2", "Operation air conditioning front [11]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "100", "483", "0x1E3", "Operation pushbutton interior lighting [2]", "86", "0x56", "FZD"
LINE "101", "487", "0x1E7", "Operation seat heating / seat climate FA [7]", "120", "0x78", "IHKA"
LINE "102", "488", "0x1E8", "Operation seat heating / seat climate BF [7]", "120", "0x78", "IHKA"
LINE "103", "490", "0x1EA", "Steering column adjustment control [5]", "120", "0x78", "IHKA"
LINE "104", "491", "0x1EB", "Operation active seat FA [4]", "120", "0x78", "IHKA"
LINE "105", "492", "0x1EC", "Operation active seat BF [4]", "120", "0x78", "IHKA"
LINE "106", "494", "0x1EE", "Steering column switch operation [6]", "114", "0x72", "FRMFA"
LINE "107", "499", "0x1F3", "Operation seat memory FA [4]", "255", "0xFF", "Sender unknown"
LINE "108", "502", "0x1F6", "Blinken [6]", "114", "0x72", "FRMFA"
LINE "109", "504", "0x1F8", "Operation SHD / MDS [1]", "86", "0x56", "FZD"
LINE "110", "507", "0x1FB", "Status EPS [2]", "48", "0x30", "EPS"
LINE "111", "508", "0x1FC", "Status AFS [4]", "22", "0x16", "AFS"
LINE "112", "509", "0x1FD", "Status request EMF K-CAN [1]", "42", "0x2A", "EMF"
LINE "113", "510", "0x1FE", "Crash [12]", "1", "0x1", "ACSM"
LINE "114", "512", "0x200", "Control speed, stage cruise control (8)", "18", "0x12", "DME1 / DDE1"
LINE "115", "513", "0x201", "Status EMF K-CAN [2]", "42", "0x2A", "EMF"
LINE "116", "514", "0x202", "Dimming [10]", "114", "0x72", "FRMFA"
LINE "117", "514", "0x202", "Dimming [10]", "96", "0x60", "Kombi"
LINE "118", "517", "0x205", "Acoustic request combi [3]", "96", "0x60", "combi"
LINE "119", "518", "0x206", "Control Display Shiftlights [1]", "18", "0x12", "DME1"
LINE "120", "523", "0x20B", "Memory adjustment [6]", "109", "0x6D", "SM_FA"
LINE "121", "524", "0x20C", "Steering column control [4]", "109", "0x6D", "SM_FA"
LINE "122", "525", "0x20D", "Position steering column [5]", "120", "0x78", "IHKA"
LINE "123", "528", "0x210", "Operation HUD [7]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "124", "529", "0x211", "Status HUD [7]", "61", "0x3D", "HUD"
LINE "125", "530", "0x212", "Height levels air spring [8]", "56", "0x38", "EHC"
LINE "126", "538", "0x21A", "Lamp status [13]", "114", "0x72", "FRMFA"
LINE "127", "540", "0x21C", "Operation Night-Vision [2]", "98", "0x62", "CCC_GW"
LINE "128", "542", "0x21E", "Status Night-Vision [2]", "87", "0x57", "NVC"
LINE "129", "548", "0x224", "Operation push button NSW [2]", "114", "0x72", "FRMFA"
LINE "130", "550", "0x226", "Rain sensor wiper speed [8]", "86", "0x56", "FZD"
LINE "131", "552", "0x228", "Operation special function [8]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "132", "552", "0x228", "Operation special function [8]", "99", "0x63", "RAD1"
LINE "133", "554", "0x22A", "Status BFS [10]", "110", "0x6E", "SM_BF"
LINE "134", "554", "0x22A", "Status BFS [10]", "0", "0x0", "JBBF"
LINE "135", "556", "0x22C", "Operation push button NSL [2]", "114", "0x72", "FRMFA"
LINE "136", "558", "0x22E", "Status BFSH [7]", "255", "0xFF", "Sender unknown"
LINE "137", "562", "0x232", "Status FAS [10]", "109", "0x6D", "SM_FA"
LINE "138", "562", "0x232", "Status FAS [10]", "0", "0x0", "JBBF"
LINE "139", "566", "0x236", "Status FASH [7]", "255", "0xFF", "Sender unknown"
LINE "140", "570", "0x23A", "Status radio key [13]", "64", "0x40", "CAS"
LINE "141", "571", "0x23B", "Status climate front extended [1]", "120", "0x78", "IHKA"
LINE "142", "573", "0x23D", "Request display climate [2]", "120", "0x78", "IHKA"
LINE "143", "574", "0x23E", "Status Klima Fond [11]", "121", "0x79", "FKA"
LINE "144", "578", "0x242", "Status air conditioning front [11]", "120", "0x78", "IHKA"
LINE "145", "582", "0x246", "Status air conditioning front control unit [11]", "120", "0x78", "IHKA"
LINE "146", "584", "0x248", "Status rear view camera [2]", "119", "0x77", "RFK"
LINE "147", "585", "0x249", "Control rear view camera [1]", "98", "0x62", "CCC_GW"
LINE "148", "586", "0x24A", "Status PDC [6]", "100", "0x64", "PDC"
LINE "149", "587", "0x24B", "Status door sensors [5]", "114", "0x72", "FRMFA"
LINE "150", "594", "0x252", "Wiper status [8]", "0", "0x0", "JBBF"
LINE "151", "598", "0x256", "Challenge Passive Access [10]", "64", "0x40", "CAS"
LINE "152", "600", "0x258", "Status Transmission Passive Access [4]", "39", "0x27", "PGS"
LINE "153", "604", "0x25C", "Operation of climate additional programs [2]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "154", "621", "0x26D", "Operation blinds MK [1]", "120", "0x78", "IHR / IHKR / IHKA"
LINE "155", "622", "0x26E", "Control FH / SHD central (comfort) [10]", "64", "0x40", "CAS"
LINE "156", "635", "0x27B", "Status Shiftlights [1]", "96", "0x60", "Kombi"
LINE "157", "637", "0x27D", "Status convertible top manual convertible [1]", "64", "0x40", "CAS"
LINE "158", "638", "0x27E", "Status convertible top convertible [7]", "36", "0x24", "CVM_V / CTM"
LINE "159", "639", "0x27F", "Status central locking convertible top [1]", "0", "0x0", "JBBF"
LINE "160", "642", "0x282", "Control security vehicle 2 [6]", "255", "0xFF", "Sender unknown"
LINE "161", "644", "0x284", "Control remote start safety vehicle [8]", "64", "0x40", "CAS"
LINE "162", "646", "0x286", "Electrochromic control [1]", "86", "0x56", "FZD"
LINE "163", "652", "0x28C", "Pushbutton vertical dynamics [2]", "94", "0x5E", "GWS"
LINE "164", "653", "0x28D", "Operation pushbutton sport [1]", "94", "0x5E", "GWS"
LINE "165", "656", "0x290", "Control response hydrogen vehicle [1]", "255", "0xFF", "Sender unknown"
LINE "166", "658", "0x292", "Control high beam assistant (3)", "95", "0x5F", "FLA"
LINE "167", "670", "0x29E", "Central locking control for security vehicle [4]", "255", "0xFF", "Sender unknown"
LINE "168", "671", "0x29F", "Remote control FondCommander [5]", "64", "0x40", "CAS"
LINE "169", "672", "0x2A0", "Central locking control [10]", "64", "0x40", "CAS"
LINE "170", "674", "0x2A2", "Operation of climate stand functions [5]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "171", "676", "0x2A4", "Operation personalization [8]", "96", "0x60", "Kombi"
LINE "172", "678", "0x2A6", "Operation of wiper button [12]", "2", "0x2", "SZL_LWS / SZL_LWS"
LINE "173", "690", "0x2B2", "Wheel pressures K-CAN [1]", "41", "0x29", "EHB3"
LINE "174", "691", "0x2B3", "Acceleration data [3]", "41", "0x29", "EHB3"
LINE "175", "692", "0x2B4", "DWA-Alarm [4]", "86", "0x56", "FZD"
LINE "176", "692", "0x2B4", "DWA-Alarm [4]", "65", "0x41", "DWA"
LINE "177", "694", "0x2B6", "Control horn DWA [3]", "86", "0x56", "FZD"
LINE "178", "694", "0x2B6", "Control horn DWA [3]", "65", "0x41", "DWA"
LINE "179", "696", "0x2B8", "Operation on-board computer [3]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "180", "697", "0x2B9", "Operation RSE [1]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "181", "698", "0x2BA", "Stopwatch [3]", "96", "0x60", "Kombi"
LINE "182", "701", "0x2BD", "Request switching display [2]", "98", "0x62", "CCC_GW"
LINE "183", "702", "0x2BE", "Switch status display [2]", "72", "0x48", "VSW"
LINE "184", "703", "0x2BF", "Water valve control [2]", "120", "0x78", "IHKA"
LINE "185", "704", "0x2C0", "LCD luminance [7]", "96", "0x60", "Kombi"
LINE "186", "706", "0x2C2", "Temperatur Ist Fond [2]", "121", "0x79", "FKA"
LINE "187", "711", "0x2C7", "Display combination extended [1]", "18", "0x12", "DME1 / DDE1"
LINE "188", "714", "0x2CA", "Outside temperature [9]", "96", "0x60", "Kombi"
LINE "189", "716", "0x2CC", "Control monitor rear [2]", "38", "0x26", "RSE"
LINE "190", "718", "0x2CE", "Control monitor [4]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "191", "719", "0x2CF", "Status of auxiliary water pump [4]", "0", "0x0", "JBBF"
LINE "192", "720", "0x2D0", "Status Sensor AUC [4]", "0", "0x0", "JBBF"
LINE "193", "721", "0x2D1", "Status fitting window V [5]", "86", "0x56", "FZD"
LINE "194", "722", "0x2D2", "Status pressure refrigeration circuit [5]", "0", "0x0", "JBBF"
LINE "195", "723", "0x2D3", "Status stratification rear [6]", "0", "0x0", "JBBF"
LINE "196", "725", "0x2D5", "Status heating rear window [1]", "0", "0x0", "JBBF"
LINE "197", "726", "0x2D6", "Status valve air conditioning compressor [3]", "0", "0x0", "JBBF"
LINE "198", "730", "0x2DA", "Status tailgate lift [2]", "107", "0x6B", "HKL"
LINE "199", "734", "0x2DE", "Switch control display [1]", "72", "0x48", "VSW"
LINE "200", "738", "0x2E2", "Status setting video night vision [1]", "87", "0x57", "NVC"
LINE "201", "739", "0x2E3", "Status setting video rear view camera [1]", "119", "0x77", "RFK"
LINE "202", "740", "0x2E4", "Status trailer [8]", "113", "0x71", "AHM"
LINE "203", "742", "0x2E6", "Status of air distribution FA [13]", "120", "0x78", "IHKA"
LINE "204", "746", "0x2EA", "Status air distribution BF [9]", "120", "0x78", "IHKA"
LINE "205", "750", "0x2EE", "Status climate additional programs [2]", "120", "0x78", "IHKA"
LINE "206", "752", "0x2F0", "Status air condition functions [12]", "120", "0x78", "IHKA"
LINE "207", "753", "0x2F1", "Status driver detection [2]", "1", "0x1", "MRSZ / ACSM"
LINE "208", "755", "0x2F3", "Display switching instruction [4]", "18", "0x12", "DME1 / DDE1"
LINE "209", "756", "0x2F4", "Air conditioning control SH / ZH auxiliary water pump [13]", "120", "0x78", "IHR / IHKR / IHKA"
LINE "210", "758", "0x2F6", "Control light [7]", "114", "0x72", "FRMFA"
LINE "211", "759", "0x2F7", "Units [10]", "96", "0x60", "Kombi"
LINE "212", "760", "0x2F8", "Time / Date [12]", "96", "0x60", "Kombi"
LINE "213", "762", "0x2FA", "Seat occupancy belt contacts (15)", "1", "0x1", "ACSM"
LINE "214", "764", "0x2FC", "ZV and damper status [11]", "64", "0x40", "CAS"
LINE "215", "768", "0x300", "Status RSE [1]", "38", "0x26", "RSE"
LINE "216", "772", "0x304", "Status Gang [13]", "24", "0x18", "EGS_EL"
LINE "217", "773", "0x305", "Operation button convertible top [2]", "120", "0x78", "IHR / IHKR / IHKA"
LINE "218", "774", "0x306", "Vehicle tilt [2]", "114", "0x72", "FRMFA"
LINE "219", "775", "0x307", "Operation button flap convertible top [2]", "120", "0x78", "IHR / IHKR / IHKA"
LINE "220", "776", "0x308", "Status MSA [2]", "18", "0x12", "DME1 / DDE1"
LINE "221", "784", "0x310", "Outside temperature / relative time [10]", "96", "0x60", "Kombi"
LINE "222", "785", "0x311", "Refill quantity [3]", "96", "0x60", "Kombi"
LINE "223", "786", "0x312", "Service Call Teleservice [2]", "96", "0x60", "Kombi"
LINE "224", "787", "0x313", "Status Service Call Teleservice [3]", "54", "0x36", "TEL_BPI"
LINE "225", "787", "0x313", "Status Service Call Teleservice [3]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "226", "788", "0x314", "Status driving light [9]", "86", "0x56", "FZD"
LINE "227", "789", "0x315", "Vehicle mode [8]", "0", "0x0", "JBBF"
LINE "228", "790", "0x316", "Operation push button DSC [4]", "120", "0x78", "IHKA"
LINE "229", "790", "0x316", "Operation push button DSC [4]", "0", "0x0", "JBBF"
LINE "230", "791", "0x317", "Operation button parking aids [2]", "120", "0x78", "IHKA"
LINE "231", "792", "0x318", "Status antennas Passive Access [7]", "39", "0x27", "PGS"
LINE "232", "793", "0x319", "Operation push button RDC (5)", "96", "0x60", "Kombi"
LINE "233", "793", "0x319", "Operation push button RDC (5)", "0", "0x0", "JBBF"
LINE "234", "794", "0x31A", "Operation button HDC [2]", "120", "0x78", "IHKA"
LINE "235", "795", "0x31B", "Operation of tailgate interior button [2]", "120", "0x78", "IHKA"
LINE "236", "796", "0x31C", "Status tire pressure [6]", "32", "0x20", "RDC"
LINE "237", "797", "0x31D", "Status of flat tire indicator [6]", "41", "0x29", "EHB3"
LINE "238", "801", "0x321", "Operation button camera BF [2]", "120", "0x78", "IHKA"
LINE "239", "802", "0x322", "Damper current [3]", "57", "0x39", "EDCK_Modul"
LINE "240", "806", "0x326", "Status damper program [9]", "57", "0x39", "VDM"
LINE "241", "808", "0x328", "Relativzeit [9]", "96", "0x60", "Kombi"
LINE "242", "813", "0x32D", "Display HDC [3]", "41", "0x29", "EHB3"
LINE "243", "814", "0x32E", "Status climate internal control info [6]", "120", "0x78", "IHKA"
LINE "244", "816", "0x330", "Mileage / Range [5]", "96", "0x60", "Kombi"
LINE "245", "817", "0x331", "Programming of step cruise control [2]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "246", "818", "0x332", "Driver display speed range [4]", "18", "0x12", "DME1 / DDE1"
LINE "247", "821", "0x335", "Status electric fuel pump [3]", "23", "0x17", "EKP"
LINE "248", "822", "0x336", "Display check control message (role) [3]", "96", "0x60", "Kombi"
LINE "249", "823", "0x337", "Status fuel control DME [1]", "18", "0x12", "DME1"
LINE "250", "824", "0x338", "Control display check control message [7]", "96", "0x60", "Kombi"
LINE "251", "825", "0x339", "Status display climate [2]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "252", "826", "0x33A", "Status Monitor Front [3]", "115", "0x73", "CID_C_H / CID_C"
LINE "253", "828", "0x33C", "Status Monitor Fond 1 [3]", "116", "0x74", "CID_C_R"
LINE "254", "830", "0x33E", "Status Monitor Fond 2 [3]", "117", "0x75", "CID_C_R_2"
LINE "255", "841", "0x349", "Raw data level tank (5)", "0", "0x0", "JBBF"
LINE "256", "843", "0x34B", "Seat back lock status FA [4]", "109", "0x6D", "SM_FA"
LINE "257", "845", "0x34D", "Status seat back lock BF [2]", "110", "0x6E", "SM_BF"
LINE "258", "847", "0x34F", "Status contact handbrake [4]", "0", "0x0", "JBBF"
LINE "259", "858", "0x35A", "Appointment Condition Based Service [2]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "260", "860", "0x35C", "Status on-board computer [5]", "96", "0x60", "Kombi"
LINE "261", "862", "0x35E", "On-board computer data (trip data) [5]", "96", "0x60", "Kombi"
LINE "262", "864", "0x360", "Data on-board computer (start of journey) [2]", "96", "0x60", "Kombi"
LINE "263", "866", "0x362", "Data on-board computer (average values) [4]", "96", "0x60", "Kombi"
LINE "264", "868", "0x364", "Data on-board computer (arrival) [2]", "96", "0x60", "Kombi"
LINE "265", "869", "0x365", "Status terminal request [2]", "64", "0x40", "CAS"
LINE "266", "870", "0x366", "Display combination / external display [3]", "96", "0x60", "Kombi"
LINE "267", "871", "0x367", "Control display of demand-oriented service [7]", "96", "0x60", "Kombi"
LINE "268", "877", "0x36D", "Setting the driving dynamics switch [1]", "0", "0x0", "JBBF"
LINE "269", "884", "0x374", "wheel tolerance adjustment [7]", "41", "0x29", "EHB3"
LINE "270", "886", "0x376", "Status wear lamella [3]", "25", "0x19", "VGSG"
LINE "271", "893", "0x37D", "Status DKG [1]", "24", "0x18", "DKG"
LINE "272", "894", "0x37E", "Temperatur_Bremse [1]", "41", "0x29", "DSC_CT"
LINE "273", "895", "0x37F", "Range of diesel exhaust gas additive [1]", "18", "0x12", "DDE1"
LINE "274", "896", "0x380", "chassis number [5]", "64", "0x40", "CAS"
LINE "275", "897", "0x381", "Electronic engine oil dipstick [10]", "18", "0x12", "DME1 / DDE1"
LINE "276", "898", "0x382", "Electronic engine oil dipstick M [1]", "18", "0x12", "DME1 / DDE1"
LINE "277", "899", "0x383", "Motor data 2 [2]", "18", "0x12", "DME1 / DDE1"
LINE "278", "904", "0x388", "Vehicle type [14]", "64", "0x40", "CAS"
LINE "279", "907", "0x38B", "Status battery [1]", "18", "0x12", "DME1 / DDE1"
LINE "280", "910", "0x38E", "Start speed [1]", "18", "0x12", "DME1 / DDE1"
LINE "281", "914", "0x392", "Status System AFS [3]", "22", "0x16", "AFS"
LINE "282", "916", "0x394", "RDA request / data storage [5]", "96", "0x60", "Kombi"
LINE "283", "917", "0x395", "Coding power management [2]", "64", "0x40", "CAS"
LINE "284", "920", "0x398", "Operation chassis [14]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "285", "921", "0x399", "Status M-Drive (3)", "18", "0x12", "DME1"
LINE "286", "926", "0x39E", "Operation time / date [1]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "287", "928", "0x3A0", "Vehicle state [4]", "0", "0x0", "JBBF"
LINE "288", "931", "0x3A3", "Request Remote Services [2]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "289", "937", "0x3A9", "Status motor control CKM [2]", "18", "0x12", "DME1"
LINE "290", "939", "0x3AB", "Status Shiftlights CKM [2]", "96", "0x60", "Kombi"
LINE "291", "940", "0x3AC", "run-on time terminal 30 error-controlled [2]", "0", "0x0", "JBBF"
LINE "292", "944", "0x3B0", "Status gear reverse [2]", "114", "0x72", "FRMFA"
LINE "293", "945", "0x3B1", "Gear data 3 [2]", "24", "0x18", "EGS_MECH / DKG"
LINE "294", "947", "0x3B3", "Power management consumer control [9]", "18", "0x12", "DME1 / DDE1"
LINE "295", "948", "0x3B4", "Power management battery voltage [11]", "18", "0x12", "DME1 / DDE1"
LINE "296", "949", "0x3B5", "Status water valve [6]", "0", "0x0", "JBBF"
LINE "297", "950", "0x3B6", "Position window lifter FAT [6]", "114", "0x72", "FRMFA"
LINE "298", "951", "0x3B7", "Position window lifter FATH [5]", "0", "0x0", "JBBF"
LINE "299", "952", "0x3B8", "Position window regulator BFT [6]", "114", "0x72", "FRMFA"
LINE "300", "953", "0x3B9", "Position window regulator BFTH [5]", "0", "0x0", "JBBF"
LINE "301", "954", "0x3BA", "Position SHD [10]", "86", "0x56", "FZD"
LINE "302", "954", "0x3BA", "Position SHD [10]", "68", "0x44", "MDS"
LINE "303", "956", "0x3BC", "Position window lifter security vehicle [2]", "255", "0xFF", "Sender unknown"
LINE "304", "958", "0x3BE", "Follow-up time power supply [5]", "64", "0x40", "CAS"
